serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
B10625083486,00:0B:C2:19:CD:04,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083504,00:0B:C2:19:CD:28,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083515,00:0B:C2:19:CD:3E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083522,00:0B:C2:19:CD:4C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083536,00:0B:C2:19:CD:68,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083540,00:0B:C2:19:CD:70,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083550,00:0B:C2:19:CD:84,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083560,00:0B:C2:19:CD:98,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083565,00:0B:C2:19:CD:A2,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083566,00:0B:C2:19:CD:A4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083569,00:0B:C2:19:CD:AA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083570,00:0B:C2:19:CD:AC,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083573,00:0B:C2:19:CD:B2,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083575,00:0B:C2:19:CD:B6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083583,00:0B:C2:19:CD:C6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083609,00:0B:C2:19:CD:FA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083612,00:0B:C2:19:CE:00,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083614,00:0B:C2:19:CE:04,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083627,00:0B:C2:19:CE:1E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083629,00:0B:C2:19:CE:22,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083635,00:0B:C2:19:CE:2E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083636,00:0B:C2:19:CE:30,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083641,00:0B:C2:19:CE:3A,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083642,00:0B:C2:19:CE:3C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083643,00:0B:C2:19:CE:3E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083648,00:0B:C2:19:CE:48,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083651,00:0B:C2:19:CE:4E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083654,00:0B:C2:19:CE:54,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083664,00:0B:C2:19:CE:68,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083670,00:0B:C2:19:CE:74,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083680,00:0B:C2:19:CE:88,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083682,00:0B:C2:19:CE:8C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083683,00:0B:C2:19:CE:8E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083689,00:0B:C2:19:CE:9A,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083692,00:0B:C2:19:CE:A0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083696,00:0B:C2:19:CE:A8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083700,00:0B:C2:19:CE:B0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083702,00:0B:C2:19:CE:B4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083703,00:0B:C2:19:CE:B6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083704,00:0B:C2:19:CE:B8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083705,00:0B:C2:19:CE:BA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083707,00:0B:C2:19:CE:BE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083709,00:0B:C2:19:CE:C2,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083710,00:0B:C2:19:CE:C4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083712,00:0B:C2:19:CE:C8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083716,00:0B:C2:19:CE:D0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083719,00:0B:C2:19:CE:D6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083722,00:0B:C2:19:CE:DC,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083724,00:0B:C2:19:CE:E0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083726,00:0B:C2:19:CE:E4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083727,00:0B:C2:19:CE:E6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083728,00:0B:C2:19:CE:E8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083729,00:0B:C2:19:CE:EA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083731,00:0B:C2:19:CE:EE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083734,00:0B:C2:19:CE:F4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083735,00:0B:C2:19:CE:F6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083736,00:0B:C2:19:CE:F8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083737,00:0B:C2:19:CE:FA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083739,00:0B:C2:19:CE:FE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083745,00:0B:C2:19:CF:0A,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083747,00:0B:C2:19:CF:0E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083748,00:0B:C2:19:CF:10,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083749,00:0B:C2:19:CF:12,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083752,00:0B:C2:19:CF:18,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083754,00:0B:C2:19:CF:1C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083757,00:0B:C2:19:CF:22,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083758,00:0B:C2:19:CF:24,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083763,00:0B:C2:19:CF:2E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083764,00:0B:C2:19:CF:30,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083766,00:0B:C2:19:CF:34,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083768,00:0B:C2:19:CF:38,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
