"Device class         ","Serial number        ","MAC_ETH              ",DAK-PW,Manufacturer,Device type,Date of manufacture
PLC-Head-End,C10625052077,00:0B:C2:19:A9:17,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052084,00:0B:C2:19:A9:25,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052116,00:0B:C2:19:A9:65,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625052119,00:0B:C2:19:A9:6B,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625052169,00:0B:C2:19:A9:CF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052183,00:0B:C2:19:A9:EB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052195,00:0B:C2:19:AA:03,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052255,00:0B:C2:19:AA:7B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052259,00:0B:C2:19:AA:83,n.a.,Corinex,CXP-GPH,20250527
PLC-Head-End,C10625052261,00:0B:C2:19:AA:87,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625052345,00:0B:C2:19:AB:2F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052546,00:0B:C2:19:AC:C1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052560,00:0B:C2:19:AC:DD,n.a.,Corinex,CXP-GPH,20250529
PLC-Head-End,C10625052569,00:0B:C2:19:AC:EF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052721,00:0B:C2:19:AE:1F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052753,00:0B:C2:19:AE:5F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052760,00:0B:C2:19:AE:6D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052781,00:0B:C2:19:AE:97,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052789,00:0B:C2:19:AE:A7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052804,00:0B:C2:19:AE:C5,n.a.,Corinex,CXP-GPH,20250526
PLC-Head-End,C10625052810,00:0B:C2:19:AE:D1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052812,00:0B:C2:19:AE:D5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052825,00:0B:C2:19:AE:EF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052854,00:0B:C2:19:AF:29,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052875,00:0B:C2:19:AF:53,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052885,00:0B:C2:19:AF:67,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052891,00:0B:C2:19:AF:73,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052900,00:0B:C2:19:AF:85,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052901,00:0B:C2:19:AF:87,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052946,00:0B:C2:19:AF:E1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625052958,00:0B:C2:19:AF:F9,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625052995,00:0B:C2:19:B0:43,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053007,00:0B:C2:19:B0:5B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053008,00:0B:C2:19:B0:5D,n.a.,Corinex,CXP-GPH,20250528
