serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
ECRX3623000037,000BC2171418,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000038,000BC2171419,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000039,000BC217141A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000040,000BC217141B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000041,000BC217141C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000042,000BC217141D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000043,000BC217141E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000044,000BC217141F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000045,000BC2171420,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000046,000BC2171421,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000047,000BC2171422,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000048,000BC2171423,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000049,000BC2171424,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000050,000BC2171425,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000051,000BC2171426,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000052,000BC2171427,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000053,000BC2171428,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000054,000BC2171429,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000055,000BC217142A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000056,000BC217142B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000057,000BC217142C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000058,000BC217142D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000059,000BC217142E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000060,000BC217142F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000061,000BC2171430,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000062,000BC2171431,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000063,000BC2171432,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000064,000BC2171433,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000065,000BC2171434,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000066,000BC2171435,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000067,000BC2171436,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000068,000BC2171437,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000069,000BC2171438,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000070,000BC2171439,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
